"Sex" "Age" "Place" "DivPlace" "DIV" "DivAge" "Time" "BostonQualifier" "HomeStateOrCountry"
"69" "M" 30 8474 1101 "M30-34" "30-34" 219.3 "N" "FRA"
"70" "M" 34 2744 460 "M30-34" "30-34" 191.18 "Y" "NV"
"71" "M" 32 261 63 "M30-34" "30-34" 162.13 "Y" "MA"
"72" "M" 49 15448 1756 "M45-49" "45-49" 239.25 "Y" "SUI"
"73" "M" 44 11287 1512 "M40-44" "40-44" 228.85 "N" "AUS"
"74" "M" 33 194 48 "M30-34" "30-34" 159.32 "Y" "SWE"
"75" "M" 32 7653 1017 "M30-34" "30-34" 216.38 "Y" "NY"
"76" "F" 41 19747 945 "F40-44" "40-44" 251.17 "Y" "NY"
"77" "M" 44 19718 2404 "M40-44" "40-44" 251.1 "Y" "MD"
"78" "M" 62 5866 54 "M60-64" "60-64" 208.92 "N" "COL"
"79" "M" 39 111 9 "M35-39" "35-39" 154.48 "Y" "NOR"
"80" "F" 25 9264 405 "F25-29" "25-29" 222.37 "Y" "WA"
"81" "F" 47 19751 736 "F45-49" "45-49" 251.17 "Y" "PA"
"82" "M" 70 6929 4 "M70-74" "70-74" 213.37 "Y" "CHN"
"83" "M" 31 652 167 "M30-34" "30-34" 170.25 "Y" "MA"
"84" "M" 43 5900 876 "M40-44" "40-44" 209.07 "N" "COL"
"85" "M" 39 3235 632 "M35-39" "35-39" 194.53 "Y" "ESP"
"86" "M" 38 1553 350 "M35-39" "35-39" 179.88 "Y" "CA"
"87" "M" 30 5822 799 "M30-34" "30-34" 208.77 "Y" "LA"
"88" "M" 32 4579 657 "M30-34" "30-34" 203.15 "N" "WA"
"89" "M" 30 1542 302 "M30-34" "30-34" 179.82 "N" "NY"
"90" "F" 25 2765 70 "F25-29" "25-29" 191.33 "N" "NY"
"91" "M" 40 17501 2193 "M40-44" "40-44" 244.83 "N" "FRA"
"92" "F" 33 2780 83 "F30-34" "30-34" 191.45 "Y" "NC"
"93" "M" 35 5864 949 "M35-39" "35-39" 208.92 "Y" "NY"
"94" "M" 32 569 152 "M30-34" "30-34" 168.9 "N" "CAN"
"95" "M" 44 1572 248 "M40-44" "40-44" 180.15 "N" "ESP"
"96" "F" 24 13717 186 "F20-24" "20-24" 235.47 "Y" "IL"
"97" "F" 27 1530 29 "F25-29" "25-29" 179.7 "N" "MEX"
"98" "F" 37 10740 400 "F35-39" "35-39" 227.33 "Y" "GBR"
"99" "M" 47 6996 860 "M45-49" "45-49" 213.62 "N" "FRA"
"100" "M" 30 16133 1867 "M30-34" "30-34" 240.78 "N" "POL"
"101" "M" 45 4565 570 "M45-49" "45-49" 203.07 "N" "NY"
"102" "F" 40 3244 57 "F40-44" "40-44" 194.58 "N" "IRL"
"103" "M" 43 15431 1966 "M40-44" "40-44" 239.2 "Y" "NED"
"104" "F" 40 12868 570 "F40-44" "40-44" 233.3 "Y" "MEX"
"105" "F" 49 9233 244 "F45-49" "45-49" 222.27 "Y" "AUS"
"106" "M" 34 27 10 "M30-34" "30-34" 141.1 "N" "UGA"
"107" "M" 54 12811 1073 "M50-54" "50-54" 233.15 "Y" "FRA"
"108" "M" 49 17514 1979 "M45-49" "45-49" 244.88 "N" "NY"
"109" "M" 45 5875 735 "M45-49" "45-49" 208.97 "N" "AUS"
