"Sex" "Age" "Place" "DivPlace" "DIV" "DivAge" "Time" "BostonQualifier" "HomeStateOrCountry"
"352" "M" 26 8402 812 "M25-29" "25-29" 219.05 "Y" "PER"
"353" "M" 38 8455 1257 "M35-39" "35-39" 219.25 "N" "CA"
"354" "M" 63 15480 263 "M60-64" "60-64" 239.3 "Y" "MN"
"355" "M" 34 502 136 "M30-34" "30-34" 167.68 "N" "CAN"
"356" "M" 43 18761 2321 "M40-44" "40-44" 248.37 "Y" "NY"
"357" "M" 28 1506 247 "M25-29" "25-29" 179.52 "Y" "CA"
"358" "F" 38 3215 61 "F35-39" "35-39" 194.43 "Y" "OR"
"359" "M" 50 10723 895 "M50-54" "50-54" 227.27 "Y" "ITA"
"360" "F" 39 17594 730 "F35-39" "35-39" 245.08 "N" "NCA"
"361" "F" 52 10776 171 "F50-54" "50-54" 227.45 "N" "SUI"
"362" "M" 34 1510 296 "M30-34" "30-34" 179.55 "N" "VA"
"363" "M" 52 824 28 "M50-54" "50-54" 172.97 "Y" "GBR"
"364" "F" 26 15475 795 "F25-29" "25-29" 239.28 "Y" "NY"
"365" "M" 56 2770 49 "M55-59" "55-59" 191.37 "N" "ME"
"366" "M" 47 1519 137 "M45-49" "45-49" 179.6 "N" "POR"
"367" "F" 35 11227 426 "F35-39" "35-39" 228.68 "N" "CO"
"368" "F" 55 18778 169 "F55-59" "55-59" 248.42 "N" "THA"
"369" "M" 42 5891 874 "M40-44" "40-44" 209.02 "Y" "NY"
"370" "M" 41 19794 2411 "M40-44" "40-44" 251.27 "N" "NY"
"371" "M" 50 12861 1079 "M50-54" "50-54" 233.28 "N" "ITA"
"372" "M" 47 9235 1113 "M45-49" "45-49" 222.27 "Y" "CT"
"373" "M" 50 541 13 "M50-54" "50-54" 168.28 "Y" "ITA"
"374" "F" 24 19731 302 "F20-24" "20-24" 251.12 "Y" "NY"
"375" "M" 50 12823 1074 "M50-54" "50-54" 233.18 "N" "ITA"
"376" "M" 37 14790 1920 "M35-39" "35-39" 237.87 "Y" "GER"
"377" "M" 30 6984 947 "M30-34" "30-34" 213.57 "N" "GER"
"378" "M" 36 9270 1354 "M35-39" "35-39" 222.4 "N" "DEN"
"379" "F" 52 17531 384 "F50-54" "50-54" 244.93 "Y" "ITA"
"380" "F" 26 2734 67 "F25-29" "25-29" 191.1 "N" "IN"
"381" "M" 24 485 28 "M20-24" "20-24" 167.48 "Y" "NC"
"382" "M" 57 6093 206 "M55-59" "55-59" 209.7 "Y" "SIN"
"383" "M" 40 18755 2320 "M40-44" "40-44" 248.37 "N" "NJ"
"384" "M" 30 550 144 "M30-34" "30-34" 168.47 "N" "FL"
"385" "M" 40 915 134 "M40-44" "40-44" 174.08 "Y" "ITA"
"386" "M" 42 224 26 "M40-44" "40-44" 160.32 "Y" "FRA"
"387" "F" 37 11283 427 "F35-39" "35-39" 228.83 "N" "AUS"
"388" "M" 40 599 70 "M40-44" "40-44" 169.42 "Y" "TX"
"389" "M" 52 9295 782 "M50-54" "50-54" 222.48 "Y" "SUI"
"390" "M" 32 11292 1397 "M30-34" "30-34" 228.87 "Y" "MI"
"391" "M" 34 6915 936 "M30-34" "30-34" 213.32 "Y" "RUS"
"392" "M" 23 5 1 "M20-24" "20-24" 130.65 "Y" "ETH"
"393" "M" 54 17557 1498 "M50-54" "50-54" 245.02 "N" "FRA"
"394" "M" 24 441 25 "M20-24" "20-24" 166.7 "N" "NY"
"395" "M" 30 340 89 "M30-34" "30-34" 164.2 "N" "GBR"
"396" "M" 31 100 25 "M30-34" "30-34" 153.88 "Y" "NY"
"397" "M" 54 14701 1240 "M50-54" "50-54" 237.7 "Y" "NY"
"398" "M" 27 403 102 "M25-29" "25-29" 165.65 "N" "CA"
"399" "F" 21 18739 282 "F20-24" "20-24" 248.32 "N" "PER"
"400" "M" 40 25 2 "M40-44" "40-44" 139.68 "N" "SWE"
