distance
12
18.5
13.2
8.8
13.9
8.3
17.9
26.2
23.6
24.5
10.5
23.6
17.89
17.9
27.5
22.5
11.5
18.6
18.6
36.7
5.2
22.6
6.3
5.8
25.2
18.6
20.9
10.6
18.6
20.9
34.9
30.2
20.5
22.1
27.1
15.6
11.5
11.5
28.1
22.2
12.6
14.5
24.5
15.8
15.8
20.5
13.1
27.2
13.1
13.1
22
16.9
44.7
47.4
13.8
13.8
15.8
27.3
16.9
27.3
7.1
24
13.7
11.1
11.1
10.7
11.5
23.33
17.2
6.1
48.1
18.1
20.2
19.4
15.4
6.1
21.4
17.6
16.6
20.2
25.4
18.1
18.1
39
28.5
13
25.1
26.5
26.5
26.5
6.1
30.3
30.3
16.4
21.8
15.8
9.4
20
6.8
15.1
23.2
17
12.3
20.9
20.9
7.1
20.9
46
41.3
13.2
14
36.2
4.18
6.3
27
15.8
41.5
41.5
35
23.2
2.8
6.3
35
7.1
13.7
19.4
