distance
29.8
17.3
7
10
15.5
22.8
22.9
7.5
6.1
6.1
18
6.1
18
6.2
16
5.4
9.2
14.5
4.3
10.5
19.6
12.6
10.5
7.5
9.6
7.8
10.1
15.3
17.9
23
23
23
12.2
30.3
30.3
31
13.8
13.8
13.8
9.4
9.4
17.9
15.8
13.6
7.4
19.7
5.5
5.5
5.5
21.1
19.7
9.4
17.9
14.5
21.5
14.1
14.1
22.7
9.5
15.5
9.6
11
17.6
20.5
17.6
17.6
14.1
22.6
7.9
22.6
22.6
22.6
10
16.2
17.2
17.2
17.2
12.2
10
15.1
29.3
9.3
9.8
9.8
26.6
26.6
15
11.6
17.4
15
20.4
16.5
7.9
33
10.9
27.3
4.7
4.7
18
16.9
22.8
19.3
10
9.5
23
